id,name,source_url,artist,license,license_url
warenhaus-wertheim-berlin,Warenhaus Wertheim (Berlin),https://upload.wikimedia.org/wikipedia/commons/5/58/Wertheim-Konzern%2C_Logo.jpg,,,
warenhaus-tietz-berlin,Warenhaus Tietz (Berlin),https://upload.wikimedia.org/wikipedia/commons/b/b0/Berlin%2C_Leipziger_Stra%C3%9Fe%2C_Warenhaus_Tietz.jpg,,,
casa-batllo,Casa Batlló (Barcelona),https://upload.wikimedia.org/wikipedia/commons/b/bf/Casa_Batllo_Overview_Barcelona_Spain_cut.jpg,,,
chrysler-building,Chrysler Building (New York),https://upload.wikimedia.org/wikipedia/commons/5/5f/Manhattan_from_Weehawken%2C_NJ.jpg,Dmitry Avdeev,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0
haus-goldmann-salatsch,Wohn- und Geschäftshaus Goldmann & Salatsch (Wien),https://upload.wikimedia.org/wikipedia/commons/0/0e/Looshaus_Michaelerplatz.JPG,,,
haus-steiner,Haus Steiner (Wien),https://upload.wikimedia.org/wikipedia/commons/5/55/Haus_Steiner.JPG,,,
aeg-turbinenfabrik-montagehalle,AEG-Turbinenfabrik – Montagehalle,https://upload.wikimedia.org/wikipedia/commons/c/cd/Berlin_AEG_Turbinenfabrik.jpg,,,
grossmarkthalle-muenchen,Großmarkthalle (München),https://upload.wikimedia.org/wikipedia/commons/1/14/Gro%C3%9Fmarkthalle_M%C3%BCnchen_17.jpg,,,
jahrhunderthalle-breslau,Jahrhunderthalle (Breslau),https://upload.wikimedia.org/wikipedia/commons/3/3b/Wroclaw_-_Hala_Stulecia_03a.jpg,,,
einsteinturm,Einsteinturm (Potsdam),https://upload.wikimedia.org/wikipedia/commons/3/36/Einsteinturm_7443.jpg,,,
ig-farben-verwaltung-hoechst,Verwaltungsgebäude IG Farben (Höchst),https://upload.wikimedia.org/wikipedia/commons/e/eb/IPH_Bruecke_Turm_Westen_DSC_7782.jpg,,,
grosses-schauspielhaus,Großes Schauspielhaus (Berlin),https://upload.wikimedia.org/wikipedia/commons/a/ae/150418_Konzerthaus_Berlin.jpg,,,
